Clock  ,Queue  ,CPU    ,NewIO? ,p1     ,p2     ,p3     ,p4     ,p5     ,p6     ,p7     ,p8     ,p9     ,p10    ,p11    ,p12    ,p13    ,p14    ,p15    
1      ,0      ,p1_1   ,       ,RUNNING,READY  ,READY  ,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,READY  ,READY  ,READY  ,READY  ,READY  
2      ,0      ,p1_2   ,       ,RUNNING,READY  ,READY  ,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,READY  ,READY  ,READY  ,READY  ,READY  
3      ,0      ,p2_1   ,True   ,READY  ,RUNNING,READY  ,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,READY  ,READY  ,READY  ,READY  ,READY  
4      ,0      ,p3_1   ,       ,READY  ,WAITING,RUNNING,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,READY  ,READY  ,READY  ,READY  ,READY  
5      ,0      ,p3_2   ,       ,READY  ,WAITING,RUNNING,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,READY  ,READY  ,READY  ,READY  ,READY  
6      ,0      ,p4_1   ,True   ,READY  ,WAITING,READY  ,RUNNING,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,READY  ,READY  ,READY  ,READY  ,READY  
7      ,0      ,p5_1   ,       ,READY  ,READY  ,READY  ,WAITING,RUNNING,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,READY  ,READY  ,READY  ,READY  ,READY  
8      ,0      ,p5_2   ,       ,READY  ,READY  ,READY  ,WAITING,RUNNING,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,READY  ,READY  ,READY  ,READY  ,READY  
9      ,0      ,p11_1  ,       ,READY  ,READY  ,READY  ,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,RUNNING,READY  ,READY  ,READY  ,READY  
10     ,0      ,p11_2  ,       ,READY  ,READY  ,READY  ,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,RUNNING,READY  ,READY  ,READY  ,READY  
11     ,0      ,p12_1  ,       ,READY  ,READY  ,READY  ,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,RUNNING,READY  ,READY  ,READY  
12     ,0      ,p12_2  ,       ,READY  ,READY  ,READY  ,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,RUNNING,READY  ,READY  ,READY  
13     ,0      ,p13_1  ,       ,READY  ,READY  ,READY  ,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,RUNNING,READY  ,READY  
14     ,0      ,p13_2  ,       ,READY  ,READY  ,READY  ,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,RUNNING,READY  ,READY  
15     ,0      ,p14_1  ,       ,READY  ,READY  ,READY  ,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,READY  ,RUNNING,READY  
16     ,0      ,p14_2  ,       ,READY  ,READY  ,READY  ,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,READY  ,RUNNING,READY  
17     ,0      ,p15_1  ,       ,READY  ,READY  ,READY  ,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,READY  ,READY  ,RUNNING
18     ,0      ,p15_2  ,       ,READY  ,READY  ,READY  ,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,READY  ,READY  ,RUNNING
19     ,0      ,p2_2   ,       ,READY  ,RUNNING,READY  ,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,READY  ,READY  ,READY  
20     ,0      ,p2_3   ,       ,READY  ,RUNNING,READY  ,READY  ,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,READY  ,READY  ,READY  
21     ,0      ,p4_2   ,       ,READY  ,READY  ,READY  ,RUNNING,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,READY  ,READY  ,READY  
22     ,0      ,p4_3   ,True   ,READY  ,READY  ,READY  ,RUNNING,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,READY  ,READY  ,READY  
23     ,1      ,p1_3   ,True   ,RUNNING,READY  ,READY  ,WAITING,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,READY  ,READY  ,READY  
24     ,1      ,p3_3   ,       ,WAITING,READY  ,RUNNING,WAITING,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,READY  ,READY  ,READY  
25     ,0      ,p4_4   ,       ,WAITING,READY  ,READY  ,RUNNING,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,READY  ,READY  ,READY  
26     ,0      ,p4_5   ,       ,WAITING,READY  ,READY  ,RUNNING,READY  ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,READY  ,READY  ,READY  
27     ,1      ,p5_3   ,True   ,WAITING,READY  ,READY  ,READY  ,RUNNING,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,READY  ,READY  ,READY  
28     ,0      ,p1_4   ,       ,RUNNING,READY  ,READY  ,READY  ,WAITING,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,READY  ,READY  ,READY  
29     ,0      ,p1_5   ,       ,RUNNING,READY  ,READY  ,READY  ,WAITING,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,READY  ,READY  ,READY  
30     ,1      ,p12_3  ,       ,READY  ,READY  ,READY  ,READY  ,WAITING,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,RUNNING,READY  ,READY  ,READY  
31     ,0      ,p5_4   ,       ,READY  ,READY  ,READY  ,READY  ,RUNNING,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,READY  ,READY  ,READY  
32     ,0      ,p5_5   ,True   ,READY  ,READY  ,READY  ,READY  ,RUNNING,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,READY  ,READY  ,READY  
33     ,1      ,p13_3  ,       ,READY  ,READY  ,READY  ,READY  ,WAITING,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,RUNNING,READY  ,READY  
34     ,1      ,p13_4  ,       ,READY  ,READY  ,READY  ,READY  ,WAITING,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,RUNNING,READY  ,READY  
35     ,1      ,p13_5  ,       ,READY  ,READY  ,READY  ,READY  ,WAITING,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,RUNNING,READY  ,READY  
36     ,1      ,p14_3  ,       ,READY  ,READY  ,READY  ,READY  ,WAITING,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,DONE   ,RUNNING,READY  
37     ,1      ,p14_4  ,       ,READY  ,READY  ,READY  ,READY  ,WAITING,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,DONE   ,RUNNING,READY  
38     ,1      ,p14_5  ,       ,READY  ,READY  ,READY  ,READY  ,WAITING,NEXIST ,NEXIST ,NEXIST ,NEXIST ,NEXIST ,DONE   ,READY  ,DONE   ,RUNNING,READY  
